00:00:00.042988 Send to PLC Delay Applied, 50 ms
00:10:13.404314 Send to PLC Delay Applied, 50 ms
00:10:13.455156 Send to PLC Delay Applied, 50 ms
00:10:13.943747 Send to PLC Delay Applied, 50 ms
00:10:14.469472 Send to PLC Delay Applied, 50 ms
00:10:14.520066 Send to PLC Delay Applied, 50 ms
00:10:15.000798 Send to PLC Delay Applied, 50 ms
00:10:15.535424 Send to PLC Delay Applied, 50 ms
00:10:15.586553 Send to PLC Delay Applied, 50 ms
00:10:16.064359 Send to PLC Delay Applied, 50 ms
00:10:16.597879 Send to PLC Delay Applied, 50 ms
00:10:17.125121 Send to PLC Delay Applied, 50 ms
00:10:17.175214 Send to PLC Delay Applied, 50 ms
00:10:17.662741 Send to PLC Delay Applied, 50 ms
00:10:18.189476 Send to PLC Delay Applied, 50 ms
00:10:18.727941 Send to PLC Delay Applied, 50 ms
00:10:19.253489 Send to PLC Delay Applied, 50 ms
00:10:19.792006 Send to PLC Delay Applied, 50 ms
00:10:20.315824 Send to PLC Delay Applied, 50 ms
00:10:21.114498 Send to PLC Delay Applied, 50 ms
00:10:21.645254 Send to PLC Delay Applied, 50 ms
00:10:21.695899 Send to PLC Delay Applied, 50 ms
00:10:22.179630 Send to PLC Delay Applied, 50 ms
00:10:22.230499 Send to PLC Delay Applied, 50 ms
00:10:22.710169 Send to PLC Delay Applied, 50 ms
00:10:23.240775 Send to PLC Delay Applied, 50 ms
00:10:23.778573 Send to PLC Delay Applied, 50 ms
00:10:24.307935 Send to PLC Delay Applied, 50 ms
00:10:24.837497 Send to PLC Delay Applied, 50 ms
00:10:25.370307 Send to PLC Delay Applied, 50 ms
00:10:25.421130 Send to PLC Delay Applied, 50 ms
00:10:25.898666 Send to PLC Delay Applied, 50 ms
00:10:26.430265 Send to PLC Delay Applied, 50 ms
00:10:26.481335 Send to PLC Delay Applied, 50 ms
00:10:26.968050 Send to PLC Delay Applied, 50 ms
00:10:27.490581 Send to PLC Delay Applied, 50 ms
00:10:28.031051 Send to PLC Delay Applied, 50 ms
00:10:28.082043 Send to PLC Delay Applied, 50 ms
00:10:28.558789 Send to PLC Delay Applied, 50 ms
00:10:29.088088 Send to PLC Delay Applied, 50 ms
00:10:29.624886 Send to PLC Delay Applied, 50 ms
00:10:29.675787 Send to PLC Delay Applied, 50 ms
00:10:30.151310 Send to PLC Delay Applied, 50 ms
00:10:30.689093 Send to PLC Delay Applied, 50 ms
00:10:31.220480 Send to PLC Delay Applied, 50 ms
00:10:31.750026 Send to PLC Delay Applied, 50 ms
00:10:32.285620 Send to PLC Delay Applied, 50 ms
00:10:32.812390 Send to PLC Delay Applied, 50 ms
00:10:32.863193 Send to PLC Delay Applied, 50 ms
00:10:33.345955 Send to PLC Delay Applied, 50 ms
00:10:33.884320 Send to PLC Delay Applied, 50 ms
00:10:34.406094 Send to PLC Delay Applied, 50 ms
00:10:34.456987 Send to PLC Delay Applied, 50 ms
00:10:34.942698 Send to PLC Delay Applied, 50 ms
00:10:35.471106 Send to PLC Delay Applied, 50 ms
00:10:36.011874 Send to PLC Delay Applied, 50 ms
00:10:36.062634 Send to PLC Delay Applied, 50 ms
00:10:36.533415 Send to PLC Delay Applied, 50 ms
00:10:36.584110 Send to PLC Delay Applied, 50 ms
00:10:37.073799 Send to PLC Delay Applied, 50 ms
00:10:37.125871 Send to PLC Delay Applied, 50 ms
00:10:37.597541 Send to PLC Delay Applied, 50 ms
00:10:38.130988 Send to PLC Delay Applied, 50 ms
00:10:38.664477 Send to PLC Delay Applied, 50 ms
00:10:39.193052 Send to PLC Delay Applied, 50 ms
00:10:39.733822 Send to PLC Delay Applied, 50 ms
00:10:39.784735 Send to PLC Delay Applied, 50 ms
00:10:40.261270 Send to PLC Delay Applied, 50 ms
00:10:40.312304 Send to PLC Delay Applied, 50 ms
00:10:40.791050 Send to PLC Delay Applied, 50 ms
00:10:41.324532 Send to PLC Delay Applied, 50 ms
00:10:41.853980 Send to PLC Delay Applied, 50 ms
00:10:42.386774 Send to PLC Delay Applied, 50 ms
00:10:42.437614 Send to PLC Delay Applied, 50 ms
00:10:42.918326 Send to PLC Delay Applied, 50 ms
00:10:42.969223 Send to PLC Delay Applied, 50 ms
00:10:43.455879 Send to PLC Delay Applied, 50 ms
00:10:43.506544 Send to PLC Delay Applied, 50 ms
00:10:43.985468 Send to PLC Delay Applied, 50 ms
00:10:44.520004 Send to PLC Delay Applied, 50 ms
00:10:45.042543 Send to PLC Delay Applied, 50 ms
00:10:45.577033 Send to PLC Delay Applied, 50 ms
00:10:46.110612 Send to PLC Delay Applied, 50 ms
00:10:46.161491 Send to PLC Delay Applied, 50 ms
00:10:46.638228 Send to PLC Delay Applied, 50 ms
00:10:46.689162 Send to PLC Delay Applied, 50 ms
00:10:47.171961 Send to PLC Delay Applied, 50 ms
00:10:47.704575 Send to PLC Delay Applied, 50 ms
00:10:48.235859 Send to PLC Delay Applied, 50 ms
00:10:48.286800 Send to PLC Delay Applied, 50 ms
00:10:48.768552 Send to PLC Delay Applied, 50 ms
00:10:49.302415 Send to PLC Delay Applied, 50 ms
00:10:49.830858 Send to PLC Delay Applied, 50 ms
00:10:50.360453 Send to PLC Delay Applied, 50 ms
00:10:50.411080 Send to PLC Delay Applied, 50 ms
00:10:50.896046 Send to PLC Delay Applied, 50 ms
00:10:51.430356 Send to PLC Delay Applied, 50 ms
00:10:51.480429 Send to PLC Delay Applied, 50 ms
00:10:51.958913 Send to PLC Delay Applied, 50 ms
00:10:52.487685 Send to PLC Delay Applied, 50 ms
00:10:52.539387 Send to PLC Delay Applied, 50 ms
00:10:53.026308 Send to PLC Delay Applied, 50 ms
00:10:53.553725 Send to PLC Delay Applied, 50 ms
00:10:54.088327 Send to PLC Delay Applied, 50 ms
00:10:54.139336 Send to PLC Delay Applied, 50 ms
00:10:54.619785 Send to PLC Delay Applied, 50 ms
00:10:55.154383 Send to PLC Delay Applied, 50 ms
00:10:55.682019 Send to PLC Delay Applied, 50 ms
00:10:56.219710 Send to PLC Delay Applied, 50 ms
00:10:56.743151 Send to PLC Delay Applied, 50 ms
00:10:56.793232 Send to PLC Delay Applied, 50 ms
00:10:57.276693 Send to PLC Delay Applied, 50 ms
00:10:57.809336 Send to PLC Delay Applied, 50 ms
00:10:57.860388 Send to PLC Delay Applied, 50 ms
00:10:58.339970 Send to PLC Delay Applied, 50 ms
00:10:58.871640 Send to PLC Delay Applied, 50 ms
00:10:59.402251 Send to PLC Delay Applied, 50 ms
00:10:59.453119 Send to PLC Delay Applied, 50 ms
00:10:59.936798 Send to PLC Delay Applied, 50 ms
00:11:00.467416 Send to PLC Delay Applied, 50 ms
00:11:01.002942 Send to PLC Delay Applied, 50 ms
00:11:01.533413 Send to PLC Delay Applied, 50 ms
00:11:01.584266 Send to PLC Delay Applied, 50 ms
00:11:02.063055 Send to PLC Delay Applied, 50 ms
00:11:02.116568 Send to PLC Delay Applied, 50 ms
00:11:02.593778 Send to PLC Delay Applied, 50 ms
00:11:03.122066 Send to PLC Delay Applied, 50 ms
00:11:03.659798 Send to PLC Delay Applied, 50 ms
00:11:04.188227 Send to PLC Delay Applied, 50 ms
00:11:04.723045 Send to PLC Delay Applied, 50 ms
00:11:04.778888 Send to PLC Delay Applied, 50 ms
00:11:05.252608 Send to PLC Delay Applied, 50 ms
00:11:05.303247 Send to PLC Delay Applied, 50 ms
00:11:05.790028 Send to PLC Delay Applied, 50 ms
00:11:05.840033 Send to PLC Delay Applied, 50 ms
00:11:06.318615 Send to PLC Delay Applied, 50 ms
00:11:06.855349 Send to PLC Delay Applied, 50 ms
00:11:07.381945 Send to PLC Delay Applied, 50 ms
00:11:07.919291 Send to PLC Delay Applied, 50 ms
00:11:07.970371 Send to PLC Delay Applied, 50 ms
00:11:08.443870 Send to PLC Delay Applied, 50 ms
00:11:08.981625 Send to PLC Delay Applied, 50 ms
00:11:09.506246 Send to PLC Delay Applied, 50 ms
00:11:09.557845 Send to PLC Delay Applied, 50 ms
00:11:10.037550 Send to PLC Delay Applied, 50 ms
00:11:10.578164 Send to PLC Delay Applied, 50 ms
00:11:11.104692 Send to PLC Delay Applied, 50 ms
00:11:11.158658 Send to PLC Delay Applied, 50 ms
00:11:11.638518 Send to PLC Delay Applied, 50 ms
00:11:12.168098 Send to PLC Delay Applied, 50 ms
00:11:12.700485 Send to PLC Delay Applied, 50 ms
00:11:13.230269 Send to PLC Delay Applied, 50 ms
00:11:13.763861 Send to PLC Delay Applied, 50 ms
00:11:13.814644 Send to PLC Delay Applied, 50 ms
00:11:14.297442 Send to PLC Delay Applied, 50 ms
00:11:14.825857 Send to PLC Delay Applied, 50 ms
00:11:15.355589 Send to PLC Delay Applied, 50 ms
00:11:15.406424 Send to PLC Delay Applied, 50 ms
00:11:15.888930 Send to PLC Delay Applied, 50 ms
00:11:16.420695 Send to PLC Delay Applied, 50 ms
00:11:16.471617 Send to PLC Delay Applied, 50 ms
00:11:16.952325 Send to PLC Delay Applied, 50 ms
00:11:17.484849 Send to PLC Delay Applied, 50 ms
00:11:17.535718 Send to PLC Delay Applied, 50 ms
00:11:18.018443 Send to PLC Delay Applied, 50 ms
00:11:18.551768 Send to PLC Delay Applied, 50 ms
00:11:19.079655 Send to PLC Delay Applied, 50 ms
00:11:19.616934 Send to PLC Delay Applied, 50 ms
00:11:20.143647 Send to PLC Delay Applied, 50 ms
00:11:20.679111 Send to PLC Delay Applied, 50 ms
00:11:21.209813 Send to PLC Delay Applied, 50 ms
00:11:21.737489 Send to PLC Delay Applied, 50 ms
00:11:21.788119 Send to PLC Delay Applied, 50 ms
00:11:22.269162 Send to PLC Delay Applied, 50 ms
00:11:22.801470 Send to PLC Delay Applied, 50 ms
00:11:22.852282 Send to PLC Delay Applied, 50 ms
00:11:23.336011 Send to PLC Delay Applied, 50 ms
00:11:23.387111 Send to PLC Delay Applied, 50 ms
00:11:23.870688 Send to PLC Delay Applied, 50 ms
00:11:24.400365 Send to PLC Delay Applied, 50 ms
00:11:24.451036 Send to PLC Delay Applied, 50 ms
00:11:24.929028 Send to PLC Delay Applied, 50 ms
00:11:25.468547 Send to PLC Delay Applied, 50 ms
00:11:25.995170 Send to PLC Delay Applied, 50 ms
00:11:26.045964 Send to PLC Delay Applied, 50 ms
00:11:26.529676 Send to PLC Delay Applied, 50 ms
00:11:27.056168 Send to PLC Delay Applied, 50 ms
00:11:27.589627 Send to PLC Delay Applied, 50 ms
00:11:28.120216 Send to PLC Delay Applied, 50 ms
00:11:28.171214 Send to PLC Delay Applied, 50 ms
00:11:28.652030 Send to PLC Delay Applied, 50 ms
00:11:29.188484 Send to PLC Delay Applied, 50 ms
00:11:29.239176 Send to PLC Delay Applied, 50 ms
00:11:29.722104 Send to PLC Delay Applied, 50 ms
00:11:30.257449 Send to PLC Delay Applied, 50 ms
00:11:30.781096 Send to PLC Delay Applied, 50 ms
00:11:30.831152 Send to PLC Delay Applied, 50 ms
00:11:31.323875 Send to PLC Delay Applied, 50 ms
00:11:31.374728 Send to PLC Delay Applied, 50 ms
00:11:31.845469 Send to PLC Delay Applied, 50 ms
00:11:31.896087 Send to PLC Delay Applied, 50 ms
00:11:32.377824 Send to PLC Delay Applied, 50 ms
00:11:32.428670 Send to PLC Delay Applied, 50 ms
00:11:32.907392 Send to PLC Delay Applied, 50 ms
00:11:33.443968 Send to PLC Delay Applied, 50 ms
00:11:33.969831 Send to PLC Delay Applied, 50 ms
00:11:34.020399 Send to PLC Delay Applied, 50 ms
00:11:34.500459 Send to PLC Delay Applied, 50 ms
00:11:35.035919 Send to PLC Delay Applied, 50 ms
00:11:35.088538 Send to PLC Delay Applied, 50 ms
00:11:35.568485 Send to PLC Delay Applied, 50 ms
00:11:36.096990 Send to PLC Delay Applied, 50 ms
00:11:36.150726 Send to PLC Delay Applied, 50 ms
00:11:36.627671 Send to PLC Delay Applied, 50 ms
00:11:36.679563 Send to PLC Delay Applied, 50 ms
00:11:37.159257 Send to PLC Delay Applied, 50 ms
00:11:37.700579 Send to PLC Delay Applied, 50 ms
00:11:38.225138 Send to PLC Delay Applied, 50 ms
00:11:38.276085 Send to PLC Delay Applied, 50 ms
00:11:38.757777 Send to PLC Delay Applied, 50 ms
00:11:39.300384 Send to PLC Delay Applied, 50 ms
00:11:39.823850 Send to PLC Delay Applied, 50 ms
00:11:39.873947 Send to PLC Delay Applied, 50 ms
00:11:40.350454 Send to PLC Delay Applied, 50 ms
00:11:40.403371 Send to PLC Delay Applied, 50 ms
00:11:40.888020 Send to PLC Delay Applied, 50 ms
00:11:41.414898 Send to PLC Delay Applied, 50 ms
00:11:41.951416 Send to PLC Delay Applied, 50 ms
00:11:42.481974 Send to PLC Delay Applied, 50 ms
00:11:43.012350 Send to PLC Delay Applied, 50 ms
00:11:43.062427 Send to PLC Delay Applied, 50 ms
00:11:43.544932 Send to PLC Delay Applied, 50 ms
00:11:44.075749 Send to PLC Delay Applied, 50 ms
00:11:44.126618 Send to PLC Delay Applied, 50 ms
00:11:44.611267 Send to PLC Delay Applied, 50 ms
00:11:45.136709 Send to PLC Delay Applied, 50 ms
00:11:45.187568 Send to PLC Delay Applied, 50 ms
00:11:45.669306 Send to PLC Delay Applied, 50 ms
00:11:46.201833 Send to PLC Delay Applied, 50 ms
00:11:46.732585 Send to PLC Delay Applied, 50 ms
00:11:46.783547 Send to PLC Delay Applied, 50 ms
00:11:47.271007 Send to PLC Delay Applied, 50 ms
00:11:47.321995 Send to PLC Delay Applied, 50 ms
00:11:47.794789 Send to PLC Delay Applied, 50 ms
00:11:47.845648 Send to PLC Delay Applied, 50 ms
00:11:48.334157 Send to PLC Delay Applied, 50 ms
00:11:48.384202 Send to PLC Delay Applied, 50 ms
00:11:48.863040 Send to PLC Delay Applied, 50 ms
00:11:48.915673 Send to PLC Delay Applied, 50 ms
00:11:49.394340 Send to PLC Delay Applied, 50 ms
00:11:49.446381 Send to PLC Delay Applied, 50 ms
00:11:49.923870 Send to PLC Delay Applied, 50 ms
00:11:50.457432 Send to PLC Delay Applied, 50 ms
00:11:50.988244 Send to PLC Delay Applied, 50 ms
00:11:51.516791 Send to PLC Delay Applied, 50 ms
00:11:51.567432 Send to PLC Delay Applied, 50 ms
00:11:52.053132 Send to PLC Delay Applied, 50 ms
00:11:52.581795 Send to PLC Delay Applied, 50 ms
00:11:53.122318 Send to PLC Delay Applied, 50 ms
00:11:53.647900 Send to PLC Delay Applied, 50 ms
00:11:53.698989 Send to PLC Delay Applied, 50 ms
00:11:54.192494 Send to PLC Delay Applied, 50 ms
00:11:54.719269 Send to PLC Delay Applied, 50 ms
00:11:55.244626 Send to PLC Delay Applied, 50 ms
00:11:55.294727 Send to PLC Delay Applied, 50 ms
00:11:55.770495 Send to PLC Delay Applied, 50 ms
00:11:55.821123 Send to PLC Delay Applied, 50 ms
00:11:56.309768 Send to PLC Delay Applied, 50 ms
00:11:56.839370 Send to PLC Delay Applied, 50 ms
00:11:57.367982 Send to PLC Delay Applied, 50 ms
00:11:57.901628 Send to PLC Delay Applied, 50 ms
00:11:57.953389 Send to PLC Delay Applied, 50 ms
00:11:58.440318 Send to PLC Delay Applied, 50 ms
00:11:58.969701 Send to PLC Delay Applied, 50 ms
00:11:59.493623 Send to PLC Delay Applied, 50 ms
00:12:00.032819 Send to PLC Delay Applied, 50 ms
00:12:00.083858 Send to PLC Delay Applied, 50 ms
00:12:00.561423 Send to PLC Delay Applied, 50 ms
00:12:01.093206 Send to PLC Delay Applied, 50 ms
00:12:01.624575 Send to PLC Delay Applied, 50 ms
00:12:02.158144 Send to PLC Delay Applied, 50 ms
00:12:02.687729 Send to PLC Delay Applied, 50 ms
00:12:02.739672 Send to PLC Delay Applied, 50 ms
00:12:03.219325 Send to PLC Delay Applied, 50 ms
00:12:03.752903 Send to PLC Delay Applied, 50 ms
00:12:03.803744 Send to PLC Delay Applied, 50 ms
00:12:04.288455 Send to PLC Delay Applied, 50 ms
00:12:04.820982 Send to PLC Delay Applied, 50 ms
00:12:05.344815 Send to PLC Delay Applied, 50 ms
00:12:05.395550 Send to PLC Delay Applied, 50 ms
00:12:05.882400 Send to PLC Delay Applied, 50 ms
00:12:06.413821 Send to PLC Delay Applied, 50 ms
00:12:06.464635 Send to PLC Delay Applied, 50 ms
00:12:06.942408 Send to PLC Delay Applied, 50 ms
00:12:07.475935 Send to PLC Delay Applied, 50 ms
00:12:08.011738 Send to PLC Delay Applied, 50 ms
00:12:08.549041 Send to PLC Delay Applied, 50 ms
00:12:09.065921 Send to PLC Delay Applied, 50 ms
00:12:09.116522 Send to PLC Delay Applied, 50 ms
00:12:09.604452 Send to PLC Delay Applied, 50 ms
00:12:10.140123 Send to PLC Delay Applied, 50 ms
00:12:10.663396 Send to PLC Delay Applied, 50 ms
00:12:10.716218 Send to PLC Delay Applied, 50 ms
00:12:11.194925 Send to PLC Delay Applied, 50 ms
00:12:11.733533 Send to PLC Delay Applied, 50 ms
00:12:11.783585 Send to PLC Delay Applied, 50 ms
00:12:12.263129 Send to PLC Delay Applied, 50 ms
00:12:12.313980 Send to PLC Delay Applied, 50 ms
00:12:12.798867 Send to PLC Delay Applied, 50 ms
00:12:13.327266 Send to PLC Delay Applied, 50 ms
00:12:13.860077 Send to PLC Delay Applied, 50 ms
00:12:14.389655 Send to PLC Delay Applied, 50 ms
00:12:14.926198 Send to PLC Delay Applied, 50 ms
00:12:15.449615 Send to PLC Delay Applied, 50 ms
00:12:15.988145 Send to PLC Delay Applied, 50 ms
00:12:16.512742 Send to PLC Delay Applied, 50 ms
00:12:17.042622 Send to PLC Delay Applied, 50 ms
00:12:17.093439 Send to PLC Delay Applied, 50 ms
00:12:17.582020 Send to PLC Delay Applied, 50 ms
00:12:18.114453 Send to PLC Delay Applied, 50 ms
00:12:18.166458 Send to PLC Delay Applied, 50 ms
00:12:18.642254 Send to PLC Delay Applied, 50 ms
00:12:18.692898 Send to PLC Delay Applied, 50 ms
00:12:19.173716 Send to PLC Delay Applied, 50 ms
00:12:19.225496 Send to PLC Delay Applied, 50 ms
00:12:19.708308 Send to PLC Delay Applied, 50 ms
00:12:19.759300 Send to PLC Delay Applied, 50 ms
00:12:20.238082 Send to PLC Delay Applied, 50 ms
00:12:20.288682 Send to PLC Delay Applied, 50 ms
00:12:20.769544 Send to PLC Delay Applied, 50 ms
00:12:21.303118 Send to PLC Delay Applied, 50 ms
00:12:21.353805 Send to PLC Delay Applied, 50 ms
00:12:21.830550 Send to PLC Delay Applied, 50 ms
00:12:21.881332 Send to PLC Delay Applied, 50 ms
00:12:22.366143 Send to PLC Delay Applied, 50 ms
00:12:22.896951 Send to PLC Delay Applied, 50 ms
00:12:22.947745 Send to PLC Delay Applied, 50 ms
00:12:23.430230 Send to PLC Delay Applied, 50 ms
00:12:23.965806 Send to PLC Delay Applied, 50 ms
00:12:24.015911 Send to PLC Delay Applied, 50 ms
00:12:24.491614 Send to PLC Delay Applied, 50 ms
00:12:25.023959 Send to PLC Delay Applied, 50 ms
00:12:25.074855 Send to PLC Delay Applied, 50 ms
00:12:25.564521 Send to PLC Delay Applied, 50 ms
00:12:25.614580 Send to PLC Delay Applied, 50 ms
00:12:26.091081 Send to PLC Delay Applied, 50 ms
00:12:26.615697 Send to PLC Delay Applied, 50 ms
00:12:26.666597 Send to PLC Delay Applied, 50 ms
00:12:27.154542 Send to PLC Delay Applied, 50 ms
00:12:27.684861 Send to PLC Delay Applied, 50 ms
00:12:28.223627 Send to PLC Delay Applied, 50 ms
00:12:28.745245 Send to PLC Delay Applied, 50 ms
00:12:29.283586 Send to PLC Delay Applied, 50 ms
00:12:29.812373 Send to PLC Delay Applied, 50 ms
00:12:30.346019 Send to PLC Delay Applied, 50 ms
00:12:30.875535 Send to PLC Delay Applied, 50 ms
00:12:31.410092 Send to PLC Delay Applied, 50 ms
00:12:31.460758 Send to PLC Delay Applied, 50 ms
00:12:31.943743 Send to PLC Delay Applied, 50 ms
00:12:32.474027 Send to PLC Delay Applied, 50 ms
00:12:33.006034 Send to PLC Delay Applied, 50 ms
00:12:33.536233 Send to PLC Delay Applied, 50 ms
00:12:33.587238 Send to PLC Delay Applied, 50 ms
00:12:34.069814 Send to PLC Delay Applied, 50 ms
00:12:34.595568 Send to PLC Delay Applied, 50 ms
00:12:35.126155 Send to PLC Delay Applied, 50 ms
00:12:35.663550 Send to PLC Delay Applied, 50 ms
00:12:35.714375 Send to PLC Delay Applied, 50 ms
00:12:36.193332 Send to PLC Delay Applied, 50 ms
00:12:36.725679 Send to PLC Delay Applied, 50 ms
00:12:37.254446 Send to PLC Delay Applied, 50 ms
00:12:37.794891 Send to PLC Delay Applied, 50 ms
00:12:38.322355 Send to PLC Delay Applied, 50 ms
00:12:38.852974 Send to PLC Delay Applied, 50 ms
00:12:38.903883 Send to PLC Delay Applied, 50 ms
00:12:39.381732 Send to PLC Delay Applied, 50 ms
00:12:39.432664 Send to PLC Delay Applied, 50 ms
00:12:39.914197 Send to PLC Delay Applied, 50 ms
00:12:40.447967 Send to PLC Delay Applied, 50 ms
00:12:40.979305 Send to PLC Delay Applied, 50 ms
00:12:41.030395 Send to PLC Delay Applied, 50 ms
00:12:41.515099 Send to PLC Delay Applied, 50 ms
00:12:42.038470 Send to PLC Delay Applied, 50 ms
00:12:42.090265 Send to PLC Delay Applied, 50 ms
00:12:42.575225 Send to PLC Delay Applied, 50 ms
00:12:43.104801 Send to PLC Delay Applied, 50 ms
00:12:43.638179 Send to PLC Delay Applied, 50 ms
00:12:44.169987 Send to PLC Delay Applied, 50 ms
00:12:44.701541 Send to PLC Delay Applied, 50 ms
00:12:45.232992 Send to PLC Delay Applied, 50 ms
00:12:45.763545 Send to PLC Delay Applied, 50 ms
00:12:45.813671 Send to PLC Delay Applied, 50 ms
00:12:46.294045 Send to PLC Delay Applied, 50 ms
00:12:46.344179 Send to PLC Delay Applied, 50 ms
00:12:46.832848 Send to PLC Delay Applied, 50 ms
00:12:46.884495 Send to PLC Delay Applied, 50 ms
00:12:47.362206 Send to PLC Delay Applied, 50 ms
00:12:47.890977 Send to PLC Delay Applied, 50 ms
00:12:48.423584 Send to PLC Delay Applied, 50 ms
00:12:48.956131 Send to PLC Delay Applied, 50 ms
00:12:49.488583 Send to PLC Delay Applied, 50 ms
00:12:49.541388 Send to PLC Delay Applied, 50 ms
00:12:50.023058 Send to PLC Delay Applied, 50 ms
00:12:50.074962 Send to PLC Delay Applied, 50 ms
00:12:50.552967 Send to PLC Delay Applied, 50 ms
00:12:51.085388 Send to PLC Delay Applied, 50 ms
00:12:51.614828 Send to PLC Delay Applied, 50 ms
00:12:52.147637 Send to PLC Delay Applied, 50 ms
00:12:52.198252 Send to PLC Delay Applied, 50 ms
00:12:52.678052 Send to PLC Delay Applied, 50 ms
00:12:53.215770 Send to PLC Delay Applied, 50 ms
00:12:53.741205 Send to PLC Delay Applied, 50 ms
00:12:53.792271 Send to PLC Delay Applied, 50 ms
00:12:54.281876 Send to PLC Delay Applied, 50 ms
00:12:54.807262 Send to PLC Delay Applied, 50 ms
00:12:55.341937 Send to PLC Delay Applied, 50 ms
00:12:55.871689 Send to PLC Delay Applied, 50 ms
00:12:56.402203 Send to PLC Delay Applied, 50 ms
00:12:56.453159 Send to PLC Delay Applied, 50 ms
00:12:56.934610 Send to PLC Delay Applied, 50 ms
00:12:57.468192 Send to PLC Delay Applied, 50 ms
00:12:57.518262 Send to PLC Delay Applied, 50 ms
00:12:57.998002 Send to PLC Delay Applied, 50 ms
00:12:58.528438 Send to PLC Delay Applied, 50 ms
00:12:59.066129 Send to PLC Delay Applied, 50 ms
00:12:59.116822 Send to PLC Delay Applied, 50 ms
00:12:59.589689 Send to PLC Delay Applied, 50 ms
00:13:00.126029 Send to PLC Delay Applied, 50 ms
00:13:00.652953 Send to PLC Delay Applied, 50 ms
00:13:01.193184 Send to PLC Delay Applied, 50 ms
00:13:01.718901 Send to PLC Delay Applied, 50 ms
00:13:02.252588 Send to PLC Delay Applied, 50 ms
00:13:02.785280 Send to PLC Delay Applied, 50 ms
00:13:03.318548 Send to PLC Delay Applied, 50 ms
00:13:03.847109 Send to PLC Delay Applied, 50 ms
00:13:03.898060 Send to PLC Delay Applied, 50 ms
00:13:04.377927 Send to PLC Delay Applied, 50 ms
00:13:04.911349 Send to PLC Delay Applied, 50 ms
00:13:05.442848 Send to PLC Delay Applied, 50 ms
00:13:05.493784 Send to PLC Delay Applied, 50 ms
00:13:05.975375 Send to PLC Delay Applied, 50 ms
00:13:06.027308 Send to PLC Delay Applied, 50 ms
00:13:06.505992 Send to PLC Delay Applied, 50 ms
00:13:07.045791 Send to PLC Delay Applied, 50 ms
00:13:07.096651 Send to PLC Delay Applied, 50 ms
00:13:07.570326 Send to PLC Delay Applied, 50 ms
00:13:07.620990 Send to PLC Delay Applied, 50 ms
00:13:08.100712 Send to PLC Delay Applied, 50 ms
00:13:08.153641 Send to PLC Delay Applied, 50 ms
00:13:08.633278 Send to PLC Delay Applied, 50 ms
00:13:08.683449 Send to PLC Delay Applied, 50 ms
00:13:09.165838 Send to PLC Delay Applied, 50 ms
00:13:09.697490 Send to PLC Delay Applied, 50 ms
00:13:10.233219 Send to PLC Delay Applied, 50 ms
00:13:10.763860 Send to PLC Delay Applied, 50 ms
00:13:11.299166 Send to PLC Delay Applied, 50 ms
00:13:11.350082 Send to PLC Delay Applied, 50 ms
00:13:11.827765 Send to PLC Delay Applied, 50 ms
00:13:12.354366 Send to PLC Delay Applied, 50 ms
00:13:12.405508 Send to PLC Delay Applied, 50 ms
00:13:12.895908 Send to PLC Delay Applied, 50 ms
00:13:13.420739 Send to PLC Delay Applied, 50 ms
00:13:13.956366 Send to PLC Delay Applied, 50 ms
00:13:14.006913 Send to PLC Delay Applied, 50 ms
00:13:14.484907 Send to PLC Delay Applied, 50 ms
00:13:15.016472 Send to PLC Delay Applied, 50 ms
00:13:15.553802 Send to PLC Delay Applied, 50 ms
00:13:16.078678 Send to PLC Delay Applied, 50 ms
00:13:16.615322 Send to PLC Delay Applied, 50 ms
00:13:17.149595 Send to PLC Delay Applied, 50 ms
00:13:17.675310 Send to PLC Delay Applied, 50 ms
00:13:18.207948 Send to PLC Delay Applied, 50 ms
00:13:18.258752 Send to PLC Delay Applied, 50 ms
00:13:18.738609 Send to PLC Delay Applied, 50 ms
00:13:19.275029 Send to PLC Delay Applied, 50 ms
00:13:19.806480 Send to PLC Delay Applied, 50 ms
00:13:20.335010 Send to PLC Delay Applied, 50 ms
00:13:20.868603 Send to PLC Delay Applied, 50 ms
00:13:21.402188 Send to PLC Delay Applied, 50 ms
00:13:21.936753 Send to PLC Delay Applied, 50 ms
00:13:21.987778 Send to PLC Delay Applied, 50 ms
00:13:22.473451 Send to PLC Delay Applied, 50 ms
00:13:22.524135 Send to PLC Delay Applied, 50 ms
00:13:22.997096 Send to PLC Delay Applied, 50 ms
00:13:23.527474 Send to PLC Delay Applied, 50 ms
00:13:24.060223 Send to PLC Delay Applied, 50 ms
00:13:24.594778 Send to PLC Delay Applied, 50 ms
00:13:24.645435 Send to PLC Delay Applied, 50 ms
00:13:25.123351 Send to PLC Delay Applied, 50 ms
00:13:25.174281 Send to PLC Delay Applied, 50 ms
00:13:25.659871 Send to PLC Delay Applied, 50 ms
00:13:26.187315 Send to PLC Delay Applied, 50 ms
00:13:26.719118 Send to PLC Delay Applied, 50 ms
00:13:27.248758 Send to PLC Delay Applied, 50 ms
00:13:27.299370 Send to PLC Delay Applied, 50 ms
00:13:27.782149 Send to PLC Delay Applied, 50 ms
00:13:27.833923 Send to PLC Delay Applied, 50 ms
00:13:28.310670 Send to PLC Delay Applied, 50 ms
00:13:28.361557 Send to PLC Delay Applied, 50 ms
00:13:28.847468 Send to PLC Delay Applied, 50 ms
